CustomerID,Response_Cmp1,Response_Cmp2,Response_Cmp3,Response_Cmp4,Response_Cmp5
31958,0,0,0,0,0
5387,0,0,0,0,0
32006,0,0,0,0,0
7511,0,0,0,0,0
12308,0,0,0,0,0
16670,0,0,0,0,0
6620,0,1,0,0,0
19325,0,0,0,0,0
25058,0,0,0,0,0
8042,0,0,0,0,0
23270,0,0,1,1,0
8000,0,0,0,0,0
5426,0,0,0,0,0
28856,0,0,0,0,0
11510,0,0,0,0,0
30047,0,0,0,0,0
33959,0,0,1,0,0
30029,0,0,0,0,0
8423,0,0,0,0,0
9317,0,0,0,0,0
16802,0,0,0,0,0
29681,0,0,0,0,0
19079,0,0,0,0,0
34520,0,1,0,0,0
6377,0,0,0,0,0
25649,0,0,0,0,0
12902,0,0,0,0,0
12239,0,1,0,1,0
7214,0,0,0,0,0
28088,0,0,0,0,0
26501,0,0,0,0,0
13175,0,0,0,0,0
34706,0,0,0,0,0
12365,0,0,0,0,0
23828,0,0,0,0,0
20486,0,0,0,0,0
6392,0,1,1,0,0
24350,1,0,0,0,0
10934,0,1,0,1,0
22631,0,0,0,0,0
17426,0,1,0,1,0
10007,0,0,0,0,0
15575,0,0,0,0,0
19397,0,0,0,0,0
12344,0,0,0,0,0
31070,0,0,1,0,0
14870,0,0,0,0,0
5609,0,0,0,0,0
12401,0,0,0,0,0
19904,0,0,0,0,0
23786,0,0,0,0,0
24158,0,0,0,0,0
20015,0,0,0,0,0
11666,0,0,0,0,0
9086,0,0,0,0,0
22601,0,0,0,0,0
18071,0,0,0,0,0
33881,0,0,0,0,0
8138,0,0,0,0,0
12074,0,0,1,1,0
11495,0,0,0,0,0
8945,0,0,1,0,0
11426,0,0,0,0,0
10451,0,0,0,0,0
13382,0,0,1,0,0
32249,0,0,0,0,0
6026,0,0,0,0,0
34163,0,0,1,1,0
25385,0,1,0,0,0
25337,0,0,0,0,0
13037,0,0,0,0,0
30929,0,0,0,0,0
31637,0,0,0,0,0
5717,0,1,1,0,0
26279,0,0,0,0,0
35021,0,0,0,0,0
26111,0,0,0,0,0
19106,0,0,0,0,0
26105,0,0,0,0,0
8045,0,0,0,0,0
15815,0,0,0,0,0
25094,0,0,0,0,0
31706,1,0,0,1,0
21329,1,0,0,0,0
10433,0,0,0,0,0
14057,0,0,0,0,0
33317,0,0,0,0,0
24749,0,0,0,0,0
32765,0,0,0,0,0
25091,0,0,0,0,0
28682,0,0,0,0,0
17306,0,0,0,0,0
25451,1,0,0,0,0
24155,0,0,0,0,0
26495,0,0,0,0,0
8996,0,0,0,0,0
24476,0,0,0,0,0
27326,0,0,0,0,0
29426,0,0,0,0,0
34328,0,0,0,0,0
7913,0,0,0,0,0
26402,1,0,0,0,0
10688,0,0,0,0,0
28343,0,0,0,0,0
6419,0,0,0,0,0
28850,0,0,0,0,0
17972,0,0,0,0,0
31703,0,0,0,0,0
26045,0,0,0,0,0
26285,1,0,0,0,0
16799,1,0,0,0,0
24641,0,0,0,0,0
22370,0,0,0,0,0
26885,1,0,0,0,0
17918,0,0,0,0,0
16892,0,0,0,0,0
6896,0,0,0,0,0
5486,0,0,0,0,0
15176,0,0,1,0,0
27956,0,0,0,0,0
22091,0,0,0,0,0
24269,0,1,0,1,0
30272,1,0,0,0,0
22385,0,1,0,0,0
21845,0,0,0,0,0
34826,0,0,0,0,0
11852,0,0,0,0,0
32999,0,0,0,0,0
28949,0,0,0,0,0
12152,0,0,0,0,0
8075,0,0,0,0,0
26861,0,0,0,0,0
22334,0,0,0,0,0
18713,0,1,1,1,1
5570,0,0,0,0,0
21395,0,0,0,0,0
23216,0,0,1,0,1
30383,0,0,0,0,0
26372,0,0,0,0,0
16919,0,0,0,0,0
15785,0,0,0,0,0
21410,0,0,0,0,0
18563,0,1,0,0,0
6962,0,1,0,0,0
23885,0,0,0,1,0
20666,0,0,0,0,0
34685,1,0,0,0,0
15695,0,0,0,0,0
23033,0,0,0,0,0
23396,0,1,0,0,0
19661,0,0,0,0,0
7592,0,0,0,0,0
15671,0,0,0,0,0
12929,0,0,0,0,0
29174,0,0,0,0,0
30173,0,0,0,0,0
11216,0,0,0,0,0
8684,0,0,0,0,0
11582,0,0,0,0,0
32924,0,0,0,0,0
9164,0,0,1,0,0
12446,0,0,0,0,0
31661,0,0,0,0,0
21659,0,0,0,0,0
10490,0,1,0,0,0
30722,0,0,0,0,0
20465,0,0,0,0,0
27866,0,0,0,0,0
13199,0,0,0,0,0
17144,0,0,0,0,0
30623,0,0,0,0,0
22571,0,0,0,0,0
24287,0,0,0,0,0
13694,0,0,0,0,0
5642,0,0,0,0,0
28007,0,0,0,1,0
15302,0,0,0,0,0
29264,0,0,0,0,0
17657,0,0,0,0,0
31424,0,0,0,0,0
10436,0,0,0,0,0
7352,0,0,0,0,0
7595,0,0,0,0,0
14162,1,0,0,0,0
7313,0,0,0,0,0
22934,0,0,0,0,0
23237,0,0,0,0,0
20213,0,0,0,0,0
27506,0,0,0,0,0
5414,1,0,1,1,0
21101,0,0,0,0,0
25319,0,0,0,0,0
9122,0,1,0,0,0
29114,0,0,0,0,0
31697,0,0,0,0,0
9221,0,0,0,0,0
13244,0,0,0,0,0
28739,0,0,0,0,0
25625,0,0,0,0,0
29198,0,0,0,0,0
29765,0,0,0,0,0
15749,0,0,0,0,0
21431,0,0,0,0,0
10658,0,0,0,0,0
25466,0,0,0,0,0
22877,0,1,0,0,0
5399,0,0,0,0,0
34721,0,0,0,0,0
9602,0,0,0,0,0
24692,0,0,0,0,0
16955,0,0,0,0,0
29984,0,0,0,0,0
9287,0,0,0,0,0
29120,0,0,0,0,0
24503,0,0,0,0,0
29273,0,0,0,0,0
34586,1,0,0,0,0
19442,0,0,0,0,0
9626,0,1,0,0,0
10925,0,0,0,0,0
14771,1,0,0,0,0
32090,0,0,0,0,0
12881,0,0,0,0,0
33614,0,0,0,0,0
34628,0,0,0,0,0
32912,0,0,0,0,0
32024,1,0,0,1,0
5756,0,0,0,0,0
11996,0,0,0,0,0
28400,0,0,0,0,0
7991,0,0,0,0,0
5288,0,0,0,0,0
26615,0,0,0,0,0
31007,0,0,0,1,0
21398,0,0,0,0,0
32186,0,0,0,0,0
22094,0,0,0,0,0
20258,0,0,0,0,0
7325,0,0,0,0,0
26474,0,0,0,0,0
30215,0,0,0,0,0
11555,0,0,0,0,0
13613,0,0,0,0,0
32219,0,0,1,0,0
13490,0,0,0,0,0
31859,0,0,0,0,0
28271,0,0,0,0,0
16364,0,0,0,0,0
33059,0,1,0,0,0
17141,0,0,0,0,0
17096,0,0,0,0,0
21944,0,0,0,0,0
22664,0,0,0,0,0
30116,0,0,0,0,0
12590,0,0,0,0,0
31343,0,0,0,0,0
33449,0,0,0,0,0
27278,0,0,0,0,0
8021,0,0,1,0,0
34982,0,0,0,0,0
33062,0,0,0,0,0
23660,0,0,0,0,0
15983,0,0,0,0,0
18041,0,0,0,0,0
20504,0,0,0,0,0
9632,1,0,0,0,0
31502,0,0,0,0,0
5681,0,0,0,0,0
14903,0,0,0,0,0
13130,0,0,0,0,0
21011,0,0,0,0,0
23045,0,0,1,1,1
29651,0,0,0,0,0
34295,0,1,0,1,0
30635,0,0,0,0,0
7091,1,0,0,0,0
14582,0,0,0,0,0
18449,0,0,0,0,0
13658,1,0,1,1,0
29045,0,0,0,0,0
6980,0,0,0,0,0
23405,0,0,0,0,0
5684,0,0,0,0,0
22307,0,0,0,0,0
7136,0,0,0,0,0
13439,0,0,0,0,0
14381,0,0,0,0,0
28121,0,0,0,0,0
30641,0,0,0,0,0
24632,0,0,0,0,0
33593,0,0,0,0,0
21683,1,0,0,0,0
27785,0,0,0,0,0
6263,0,0,0,0,0
22157,0,0,0,0,0
25658,0,0,0,0,0
9911,0,0,0,0,0
19046,0,0,0,0,0
10184,0,1,0,0,0
11174,0,0,0,0,0
5900,0,0,1,0,0
19712,0,0,0,0,0
26477,0,0,0,0,0
25346,0,0,1,0,0
33041,0,0,1,0,0
14921,0,0,0,0,0
27773,0,0,0,0,0
5834,0,0,0,0,0
17099,0,0,0,0,0
21413,0,0,0,0,0
34181,0,0,0,0,0
20777,1,0,0,0,0
33581,1,0,1,0,0
30191,0,0,1,0,0
10859,0,0,0,0,0
26012,0,0,0,0,0
7700,0,0,0,0,0
15563,0,0,0,0,0
5789,0,0,0,0,0
19835,0,0,0,0,0
32414,0,0,0,0,0
12431,0,0,0,0,0
27320,0,0,1,0,0
12305,0,0,0,0,0
15956,0,0,0,0,0
27722,0,0,0,0,0
27146,0,0,0,0,0
15371,0,0,0,0,0
22046,0,0,0,0,0
5540,0,0,0,0,0
20978,0,0,0,0,0
10172,0,0,0,0,0
32258,0,0,0,0,0
24878,0,0,0,0,0
34928,0,0,0,0,0
11999,0,0,0,0,0
17516,1,0,0,0,0
13877,0,0,0,0,0
22181,0,0,0,0,0
10148,0,0,0,0,0
27566,0,0,0,0,0
29642,1,0,0,0,0
16394,0,0,0,0,0
18044,0,0,0,0,0
34487,0,1,1,1,0
23462,0,0,0,0,0
17942,0,0,0,1,0
28739,0,0,0,0,0
15257,0,0,0,0,0
11099,0,0,0,0,0
5708,0,0,0,0,0
18557,0,0,0,0,0
9839,0,0,0,0,0
18881,0,0,0,0,1
24722,1,0,0,0,0
26516,0,0,0,0,0
8801,0,0,0,0,0
30926,0,0,0,0,0
32075,0,0,0,0,0
14717,0,0,0,0,0
19739,0,1,1,1,0
21149,0,0,0,0,0
23153,0,0,0,1,0
9248,0,0,0,0,0
15737,0,0,0,0,0
32192,0,0,0,0,0
30242,0,0,0,0,0
5456,0,0,0,1,0
24665,0,0,0,0,0
29099,0,1,1,1,1
13160,0,0,0,0,0
5663,0,0,0,0,0
6218,0,0,0,1,0
16241,0,0,0,0,0
30395,0,0,0,0,0
31058,0,0,0,0,0
25568,0,0,0,0,0
9092,0,0,0,1,0
9968,0,0,0,0,0
10109,0,1,1,1,0
33014,0,0,1,1,0
10814,0,0,0,0,0
26504,0,0,0,0,0
15296,0,0,0,0,0
27215,1,0,0,0,0
26981,0,0,0,0,0
11090,0,0,0,0,0
21392,0,0,0,0,0
19571,0,0,0,0,0
29237,0,0,0,0,0
